"Net Name";"Netclass";"Net Length (mm)";"Via Count";"Via Length (mm)";"Track Length (mm)";"Die Length (mm)";"Pad Count";"F.Cu (mm)";"B.Cu (mm)";
"GPIO3 / MCP|ADC SCL";"Default";207.4513;5;7.9000;199.5513;0.0000;5;51.2805;148.2708;
"Net-(J2-CC1)";"Default";1.9111;0;0.0000;1.9111;0.0000;2;0.0000;1.9111;
"Net-(J2-CC2)";"Default";1.9876;0;0.0000;1.9876;0.0000;2;0.0000;1.9876;
"Net-(U6-~{SD})";"Default";5.4149;0;0.0000;5.4149;0.0000;3;0.0000;5.4149;
"Net-(U6-IN-)";"Default";2.9208;0;0.0000;2.9208;0.0000;2;0.0000;2.9208;
"Net-(U5-LDOO)";"Default";2.7195;0;0.0000;2.7195;0.0000;2;0.0000;2.7195;
"Net-(U7-INL)";"Default";13.5935;2;3.1600;10.4335;0.0000;2;4.4386;5.9950;
"SYS_RAW";"HIGH_POWER and Default";65.9951;3;4.7400;61.2551;0.0000;4;51.5263;9.7289;
"FILTERED - IO2 / Right Stick X";"Default";112.8519;2;3.1600;109.6919;0.0000;3;98.1942;11.4976;
"Net-(U1-STAT2)";"Default";1.9357;0;0.0000;1.9357;0.0000;2;0.0000;1.9357;
"Net-(U1-PROG)";"Default";1.4281;0;0.0000;1.4281;0.0000;2;0.0000;1.4281;
"Net-(U1-~{PG})";"Default";2.4357;0;0.0000;2.4357;0.0000;2;0.0000;2.4357;
"GPIO2 / MCP|ADC SDA";"Default";241.8186;8;12.6400;229.1786;0.0000;5;85.9407;143.2379;
"GPIO10 / MAX BCLK";"Default";29.0394;1;1.5800;27.4594;0.0000;3;24.3438;3.1156;
"GPIO11 / MAX LRC";"Default";33.6072;1;1.5800;32.0272;0.0000;3;29.7363;2.2909;
"GPIO20 / MAX DIN";"Default";91.8633;3;4.7400;87.1233;0.0000;3;63.0455;24.0778;
"FILTERED - IO0 / Left Stick X";"Default";75.0427;2;3.1600;71.8827;0.0000;3;34.0521;37.8306;
"Net-(U5-XSMT)";"Default";4.8673;0;0.0000;4.8673;0.0000;2;0.0000;4.8673;
"Net-(D4-K)";"Default";7.4667;0;0.0000;7.4667;0.0000;2;0.0000;7.4667;
"Net-(U6-IN+)";"Default";2.6546;0;0.0000;2.6546;0.0000;2;0.0000;2.6546;
"Net-(U5-CAPP)";"Default";3.1975;0;0.0000;3.1975;0.0000;2;0.0000;3.1975;
"Net-(U5-CAPM)";"Default";2.9489;0;0.0000;2.9489;0.0000;2;0.0000;2.9489;
"Net-(U5-VNEG)";"Default";4.9528;0;0.0000;4.9528;0.0000;2;0.0000;4.9528;
"Net-(U5-OUTL)";"Default";3.8174;0;0.0000;3.8174;0.0000;2;0.0000;3.8174;
"Net-(U5-OUTR)";"Default";4.3518;0;0.0000;4.3518;0.0000;2;0.0000;4.3518;
"Net-(U7-~{MUTE})";"Default";2.6711;0;0.0000;2.6711;0.0000;2;0.0000;2.6711;
"Net-(U7-INR)";"Default";3.3095;0;0.0000;3.3095;0.0000;2;0.0000;3.3095;
"Net-(U7-VREF)";"Default";2.9115;0;0.0000;2.9115;0.0000;2;0.0000;2.9115;
"Net-(D3-K)";"Default";16.2863;2;3.1600;13.1263;0.0000;2;7.9549;5.1714;
